"Model","Num_Parameters","R2_Mean","R2_SD","R2_Lower","R2_Upper","LOO_IC","SE_Loo_IC"
"2022_speed_h_gamma",0,0.077814371900854,0.049212846203085,0.0114854019096042,0.110822056278586,48475.0906215765,130.222076681146
"2022_speed_h_w_gamma",0,0.0780360098666221,0.0494010196830786,0.0114622775890273,0.111252070296571,48476.6072188485,130.233800391378
"2022_notemp_weight_gamma",0,0.0633777212099611,0.0399510599800822,0.00959370679299649,0.0906754923387719,48328.1321295152,128.961843397211
"2022_date_gamma",0,0.0630309008326039,0.0397724037891211,0.0094801262160183,0.0901343163325845,48327.7770782141,129.001829707111
"2022_speed_h_w_temp_gamma",0,0.073557953756153,0.0464665864576007,0.0110113300590479,0.105381989950551,48423.7251813267,129.554065825486
"2022_speed_h_w_weight_gamma",0,0.0733927678312176,0.046358509795249,0.010972200193531,0.104982870709095,48425.0609505996,129.599232668844
