"fish_id","feed_id","day_feed","prop_pos","ts_feeding","month","tl_mm","weight_g","w_gain","l_gain","year","arcsin_prop","id_month","date","ndate","year_f","nyear","nmonth","doy","new_time"
"T475052_1","d2feed_9",1,0.348195329087049,2022-08-04 08:40:00,8,360,646,779,96,2022,0.631158895844105,"d2feed_9_2022",19208,19208,"2022",2022,8,216,243
"T475052_1","d2feed_13",1,0.642201834862385,2022-08-18 05:30:00,8,360,646,779,96,2022,0.929590340419912,"d2feed_13_2022",19222,19222,"2022",2022,8,230,310
"T475052_1","d2feed_8",6,0.021133525456292,2022-07-28 08:00:00,7,360,646,779,96,2022,0.145890719054638,"d2feed_8_2022",19206,19206,"2022",2022,8,214,233
"T475052_1","d2feed_12",1,0.0281531531531532,2022-08-15 09:00:00,8,360,646,779,96,2022,0.168586456738953,"d2feed_12_2022",19219,19219,"2022",2022,8,227,298
"T475052_1","d2feed_3",5,0.0329787234042553,2022-07-07 09:00:00,7,360,646,779,96,2022,0.18261371897207,"d2feed_3_2022",19184,19184,"2022",2022,7,192,102
"T475052_1","d2feed_16",1,0.384873949579832,2022-09-05 08:00:00,9,360,646,779,96,2022,0.669229795153357,"d2feed_16_2022",19240,19240,"2022",2022,9,248,382
"T475052_1","d2feed_17",7,0.0205607476635514,2022-09-08 10:00:00,9,360,646,779,96,2022,0.143886164749975,"d2feed_17_2022",19249,19249,"2022",2022,9,257,418
"T475052_1","d2feed_11",3,0.261811023622047,2022-08-11 09:00:00,8,360,646,779,96,2022,0.537132875714652,"d2feed_11_2022",19217,19217,"2022",2022,8,225,288
"T475052_1","d2feed_4",4,0.121212121212121,2022-07-14 08:30:00,7,360,646,779,96,2022,0.355602582980533,"d2feed_4_2022",19190,19190,"2022",2022,7,198,138
"T475052_1","d2feed_11",2,0.224074074074074,2022-08-11 09:00:00,8,360,646,779,96,2022,0.493106558197078,"d2feed_11_2022",19216,19216,"2022",2022,8,224,283
"T475052_1","d2feed_12",3,0.0268620268620269,2022-08-15 09:00:00,8,360,646,779,96,2022,0.164639169656477,"d2feed_12_2022",19221,19221,"2022",2022,8,229,306
"T475052_1","d2feed_10",1,0.00191570881226054,2022-08-09 08:30:00,8,360,646,779,96,2022,0.0437827977303062,"d2feed_10_2022",19213,19213,"2022",2022,8,221,268
"T475052_1","d2feed_5",3,0.0595419847328244,2022-07-18 08:30:00,7,360,646,779,96,2022,0.246501037495196,"d2feed_5_2022",19193,19193,"2022",2022,7,201,156
"T475052_1","d2feed_2",1,0,2022-06-30 09:00:00,6,360,646,779,96,2022,0,"d2feed_2_2022",19173,19173,"2022",2022,6,181,36
"T475052_1","d2feed_1",2,0.0024896265560166,2022-06-24 10:00:00,6,360,646,779,96,2022,0.0499168847574388,"d2feed_1_2022",19168,19168,"2022",2022,6,176,6
"T475052_1","d2feed_1",5,0.00596252129471891,2022-06-24 10:00:00,6,360,646,779,96,2022,0.0772943055992695,"d2feed_1_2022",19171,19171,"2022",2022,6,179,24
"T475052_1","d2feed_11",1,0.507211538461538,2022-08-11 09:00:00,8,360,646,779,96,2022,0.792609951912621,"d2feed_11_2022",19215,19215,"2022",2022,8,223,278
"T475052_1","d2feed_6",3,0.165454545454545,2022-07-21 08:40:00,7,360,646,779,96,2022,0.418905728807876,"d2feed_6_2022",19196,19196,"2022",2022,7,204,174
"T475052_1","d2feed_13",5,0.147794994040524,2022-08-18 05:30:00,8,360,646,779,96,2022,0.394602367638571,"d2feed_13_2022",19226,19226,"2022",2022,8,234,326
"T475052_1","d2feed_15",3,0.0129171151776103,2022-08-30 08:00:00,8,360,646,779,96,2022,0.113899599786741,"d2feed_15_2022",19236,19236,"2022",2022,9,244,366
"T475053_1","d2feed_9",2,0.00552486187845304,2022-08-04 08:40:00,8,305,463,647,116,2022,0.0743980286408592,"d2feed_9_2022",19209,19209,"2022",2022,8,217,249
"T475053_1","d2feed_6",4,0.00251889168765743,2022-07-21 08:40:00,7,305,463,647,116,2022,0.0502096551664946,"d2feed_6_2022",19197,19197,"2022",2022,7,205,181
"T475053_1","d2feed_3",5,0.0317100792751982,2022-07-07 09:00:00,7,305,463,647,116,2022,0.179028049173821,"d2feed_3_2022",19184,19184,"2022",2022,7,192,103
"T475053_1","d2feed_11",3,0,2022-08-11 09:00:00,8,305,463,647,116,2022,0,"d2feed_11_2022",19217,19217,"2022",2022,8,225,289
