"Model","Num_Parameters","R2_Mean","R2_SD","R2_Lower","R2_Upper","LOO_IC","SE_Loo_IC"
"2023_speed_h_gamma",0,0.133927390027644,0.0860840497260063,0.0175169715891201,0.186720238671335,91796.7936494018,166.073609406784
"2023_speed_h_w_gamma",0,0.133040446401198,0.0854612019009194,0.0174780027025854,0.185631418223559,91797.3372116821,166.006511626949
"2023_notemp_weight_gamma",0,0.0934863397985812,0.0599829540548063,0.0123871257626018,0.130543902290046,91057.6754757284,162.758242931672
"2023_date_gamma",0,0.0931427175140242,0.0597369485475756,0.0123827083311253,0.130289457749606,91057.861576076,162.796925002596
"2023_speed_h_w_temp_gamma",0,0.131782390404613,0.0846916327365372,0.0172673362367346,0.183985766365889,91710.99567924,165.356743199529
"2023_speed_h_w_weight_gamma",0,0.131532068608582,0.0845032825500069,0.0172567470667343,0.183250568554363,91711.5636668532,165.455512134587
