"","GDEV","df(mu)","df(sigma)","df(nu)","df(tau)","Total df","AIC","AICc","BIC"
"tau2_3",-1266.43,5,5,4,0,14,-1191.53,-1186.59,-1040.05
"model_2022.gamlss.final.5.all",-1265.78,5,5,5,0,15,-1189.77,-1184.06,-1036.04
"model_2022.gamlss.final.5.all_no_tau",-1265.78,5,5,5,0,15,-1189.77,-1184.06,-1036.04
"tau2",-1265.84,5,5,5,0,15,-1189.68,-1183.96,-1035.63
"tau2_1",-1265.84,5,5,5,0,15,-1189.68,-1183.96,-1035.63
"model_2022.gamlss.pb.full_4_nu_up",-1265.84,5,5,5,0,15,-1189.68,-1183.96,-1035.63
"model_2022.gamlss.pb.all.nu_9.all",-1255.28,5,5,3,0,13,-1187.67,-1183.44,-1050.933
"tau2_2",-1255.23,5,5,3,0,13,-1187.34,-1183.11,-1050.036
"tau2_4",-1255.23,5,5,3,0,13,-1187.34,-1183.11,-1050.036
"model_2022.gamlss.final.drop.pb.all",-1255.23,5,5,4,0,14,-1186.01,-1181.06,-1045.998
"tau2.no.inter.2.linear_2022",-1255.23,5,5,4,0,14,-1186.01,-1181.06,-1045.998
"model_2022.gamlss.pb.all.sigma_2.all",-1229.33,5,5,1,0,11,-1175.31,-1172.31,-1066.053
"model_2022.gamlss.pb.all.sigma_2",-1229.34,5,5,1,0,11,-1175.11,-1172.11,-1065.43
"tau2.no.inter.3.bs.linear",-1180.45,5,4,4,0,13,-1112.75,-1108.52,-975.832
"tau2.no.inter.3.bs.linear_no_tau",-1180.45,5,4,4,0,13,-1112.75,-1108.52,-975.832
"model_2022.gamlss.pb.all.mu_2.all",-1125.79,5,1,1,0,7,-1090.6,-1089.38,-1019.432
"model_2022.gamlss.pb.all.mu_2",-1125.79,5,1,1,0,7,-1090.6,-1089.38,-1019.432
